    "status","old_path","new_path"
"R100","images/lens/4534_繝輔ぃ繝薙Η繝ｩ繧ｹ_NO.5繝悶Λ繝・け_1month_lens.jpg","images/lens/4534_繝輔ぃ繝薙Η繝ｩ繧ｹ_no.5繝悶Λ繝・け_1month_lens.jpg"
"R100","images/lens/4557_繝舌Φ繝薙す繝ｪ繝ｼ繧ｺ 繝ｴ繧｣繝ｳ繝・・繧ｸ_繝翫メ繝･繝ｩ繝ｫ繝悶Λ繧ｦ繝ｳ_1day_lens.jpg","images/lens/4557_繝舌Φ繝薙す繝ｪ繝ｼ繧ｺ_繝ｴ繧｣繝ｳ繝・・繧ｸ_繝翫メ繝･繝ｩ繝ｫ繝悶Λ繧ｦ繝ｳ_1day_lens.jpg"
"R100","images/lens/4699_繝ｩ繝ｫ繝_繧ｯ繝・く繝ｼ繧ｯ繝ｪ繝ｼ繝_1day_lens.jpg","images/lens/4712_繝ｩ繝ｫ繝_繧ｯ繝・く繝ｼ繧ｯ繝ｪ繝ｼ繝_1month_lens.jpg"
"R100","images/lens/4700_繝ｩ繝ｫ繝_繧ｯ繝ｪ繧｢繝槭き繝ｭ繝ｳ_1day_lens.jpg","images/lens/4713_繝ｩ繝ｫ繝_繧ｯ繝ｪ繧｢繝槭き繝ｭ繝ｳ_1month_lens.jpg"
"R100","images/lens/4701_繝ｩ繝ｫ繝_繧ｰ繝ｬ繝ｼ繝峨・繝翫ヤ_1day_lens.jpg","images/lens/4714_繝ｩ繝ｫ繝_繧ｰ繝ｬ繝ｼ繝峨・繝翫ヤ_1month_lens.jpg"
"R100","images/lens/4702_繝ｩ繝ｫ繝_繝医Μ繝･繝輔Δ繧ｫ_1day_lens.jpg","images/lens/4715_繝ｩ繝ｫ繝_繝医Μ繝･繝輔Δ繧ｫ_1month_lens.jpg"
"R100","images/lens/4703_繝ｩ繝ｫ繝_繝舌ち繝ｼ繧ｳ繧ｳ繧｢_1day_lens.jpg","images/lens/4716_繝ｩ繝ｫ繝_繝舌ち繝ｼ繧ｳ繧ｳ繧｢_1month_lens.jpg"
"R100","images/lens/4704_繝ｩ繝ｫ繝_縺ｯ縺｡縺ｿ縺､繝舌え繝_1day_lens.jpg","images/lens/4717_繝ｩ繝ｫ繝_縺ｯ縺｡縺ｿ縺､繝舌え繝_1month_lens.jpg"
"R100","images/lens/4705_繝ｩ繝ｫ繝_繝斐・繝√・繧ｫ繝ｭ繝ｳ_1day_lens.jpg","images/lens/4718_繝ｩ繝ｫ繝_繝斐・繝√・繧ｫ繝ｭ繝ｳ_1month_lens.jpg"
"R100","images/lens/4707_繝ｩ繝ｫ繝_繝吶Ο繧｢繝√Ι繧ｳ_1day_lens.jpg","images/lens/4719_繝ｩ繝ｫ繝_繝吶Ο繧｢繝√Ι繧ｳ_1month_lens.jpg"
"R100","images/lens/4708_繝ｩ繝ｫ繝_繝槭Ο繝ｳ繝峨・繝翫ヤ_1day_lens.jpg","images/lens/4720_繝ｩ繝ｫ繝_繝槭Ο繝ｳ繝峨・繝翫ヤ_1month_lens.jpg"
"R100","images/lens/4710_繝ｩ繝ｫ繝_繝溘Ν繧ｯ繝悶Λ繧ｦ繝ｳ_1day_lens.jpg","images/lens/4721_繝ｩ繝ｫ繝_繝溘Ν繧ｯ繝悶Λ繧ｦ繝ｳ_1month_lens.jpg"
"R100","images/lens/4821_繝医ヱ繝ｼ繧ｺ縲繝医・繝ｪ繝・け_繧ｪ繝代・繝ｫ CYL-0.75_1day_lens.jpg","images/lens/4821_繝医ヱ繝ｼ繧ｺ_繝医・繝ｪ繝・け_繧ｪ繝代・繝ｫ_cyl-0.75_1day_lens.jpg"
"R100","images/lens/4881_雜・Δ繝・さ繝ｳ_雜・屁繧後Μ繝ｳ繧ｰ繝代・繝ｫ_1day_lens.png","images/lens/4881_雜・Δ繝・さ繝ｳ_雜・屁繧後Μ繝ｳ繧ｰ繝代・繝ｫ_1day_lens.jpg"
"R100","images/lens/4882_雜・Δ繝・さ繝ｳ_雜・屁繧後Μ繝ｳ繧ｰ繝吶・繧ｸ繝･_1day_lens.png","images/lens/4882_雜・Δ繝・さ繝ｳ_雜・屁繧後Μ繝ｳ繧ｰ繝吶・繧ｸ繝･_1day_lens.jpg"
"R100","images/lens/5056_繝弱ャ繧ｯ繝弱ャ繧ｯ_繝弱ャ繧ｯ繝弱ャ繧ｯ 333_1month_lens.jpg","images/lens/5056_繝弱ャ繧ｯ繝弱ャ繧ｯ_繝弱ャ繧ｯ繝弱ャ繧ｯ_333_1month_lens.jpg"
"R100","images/samune/UNK0564_繝｡繝ｭ繝・ヨ_繧ｪ繝ｳ繝ｪ繝ｼ繝槭う繝ｳ_unknown_samune.jpg","images/samune/4723_繝｡繝ｭ繝・ヨ_繧ｪ繝ｳ繝ｪ繝ｼ繝槭う繝ｳ_1day_samune.jpg"
"R100","images/samune/UNK0566_繝｡繝ｭ繝・ヨ_繧ｯ繝ｩ繧､繝溘Η繝ｼ繧ｺ_unknown_samune.jpg","images/samune/4725_繝｡繝ｭ繝・ヨ_繧ｯ繝ｩ繧､繝溘Η繝ｼ繧ｺ_1day_samune.jpg"
"R100","images/.update_state.json","images/蜩∫分_繝悶Λ繝ｳ繝牙錐・医き繝奇ｼ雲繧ｫ繝ｩ繝ｼCD_陬・畑譛滄俣・郁恭隱橸ｼ雲lens.jpg"
"A","tools/make_rename_csv_and_apply.ps1",""
"A","tools/make_rename_from_both_csvs.ps1",""
